@relation data2

@attribute SEHIRLER {ADANA,AFYON,AGRI,AMASYA,ANKARA,ANTALYA,AYDIN,BALIKESIR,BOLU,BURDUR,BURSA,CANAKKALE,CANKIRI,DUZCE,ERZURUM,ESKISEHIR,GAZIANTEP,GIRESUN,HATAY,ISTANBUL,IZMIR,KARS,KASTAMONU,KASYSERI,KILIS,KOCAELI,KONYA,KUTAHYA,MANISA,MERSIN,MUGLA,NEVSEHIR,NIGDE,ORDU,OSMANIYE,SAMSUN,TEKIRDAG,TOKAT,TRABZON,SINOP,USAK,ZONGULDAK}
@attribute SO2 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute PM10 numeric
@attribute 'HAVA KALITESI' {iyi,kotu}

@data
KASTAMONU,13.19,39.95,1651.39,14.64,59.46,iyi
KASTAMONU,12.03,43.55,1672.17,11.35,65.53,iyi
KASTAMONU,11.45,46.88,1601.7,12.52,66.92,iyi
KASTAMONU,13.3,48.56,1657.02,10.54,116.9,kotu
KASTAMONU,11.03,36.61,1285.49,10.76,49.03,iyi
KASTAMONU,12.67,35.72,1117.15,11.77,37.25,iyi
KASTAMONU,12.85,41.57,1273.95,10.81,52.5,iyi
KASYSERI,28.51,48.79,1080.57,17.68,81.77,kotu
KASYSERI,21.63,45.26,824.59,17.42,56.19,iyi
KASYSERI,8.47,55.25,1208.86,18.97,93.74,kotu
KASYSERI,6.41,53.02,1337.92,18.92,88.64,kotu
KASYSERI,5.77,49.78,1086.81,16.29,79.18,kotu
KASYSERI,7.47,47.94,949.01,14.27,66.77,iyi
KASYSERI,5.71,37.76,769.17,24.56,48.17,iyi
KASYSERI,12.32,40.6,458.47,18.69,35.96,iyi
KASYSERI,7.42,32.56,450.4,13.88,22.68,iyi
KASYSERI,11.38,38.13,693.79,9.78,48.94,iyi
KILIS,6.39,23.75,282.99,25.94,69.44,iyi
KILIS,9.9,29.39,342.34,23.76,56.18,iyi
KILIS,8.13,23.3,303.9,28.28,53.59,iyi
KILIS,6.25,34.42,322.08,25.2,59.2,iyi
KILIS,6.2,43.28,516.66,20.14,76.25,kotu
KILIS,11,32.08,365.95,22.66,79.82,kotu
KILIS,4.85,17.02,199.61,22.36,55.89,iyi
KILIS,3.55,13.23,165.89,23.14,54.47,iyi
KILIS,3.78,13.28,180.45,26.01,101.82,kotu
KILIS,6.22,31.61,437.85,21.99,57.23,iyi
KOCAELI,21.04,8.18,621.02,24.93,28.29,iyi
KOCAELI,24.7,8.38,811.86,17.64,33.19,iyi
KOCAELI,17.79,8.35,818.39,19.45,50.43,iyi
KOCAELI,18.69,8.31,1001.82,30.15,44.93,iyi
KOCAELI,38.43,8.5,1011.37,35.15,70.22,kotu
KOCAELI,76.39,8.42,1038.96,35.36,72.57,kotu
KOCAELI,12.31,8.23,664.45,53.32,32.06,iyi
KOCAELI,13.4,8.18,583.51,54.54,21.92,iyi
KOCAELI,13.26,8.18,680.09,46.01,23.9,iyi
KOCAELI,27.31,8.19,748.93,40.78,32.32,iyi
KONYA,47.47,67.46,2806.36,28.27,163.03,kotu
KONYA,45.07,58.06,1888.19,29.23,111.75,kotu
KONYA,47.61,59.82,1795.05,27.95,121.97,kotu
KONYA,63.92,70.35,2657.68,21.53,177.66,kotu
KONYA,71.82,76.2,2874.04,23.13,199.24,kotu
KONYA,54.9,67.05,2631.72,26.83,176.64,kotu
KONYA,24.8,34.92,1008.98,26.68,71.62,kotu
KONYA,20.38,25.88,776.87,25.59,55.14,iyi
KONYA,18.51,19.73,503.89,20.59,32.95,iyi
KONYA,45.83,43.25,1524.59,15.49,76.05,kotu
KUTAHYA,10.48,174.94,2610.22,11.75,154.61,kotu
KUTAHYA,25.62,200.5,2919.07,11.4,223.54,kotu
KUTAHYA,29.17,196.13,1941.48,10.2,210.08,kotu
KUTAHYA,12.39,188,2017.76,10.11,197.49,kotu
KUTAHYA,15.25,182.96,2094.75,10.59,175.31,kotu
KUTAHYA,13.27,184.69,2316.47,11.87,171.7,kotu
KUTAHYA,21.54,140.6,1595.53,12.04,153.47,kotu
KUTAHYA,12.57,72.34,954.21,17.86,53.37,iyi
KUTAHYA,15.09,150.11,1548.6,9.64,97.06,kotu
KUTAHYA,33.03,190.41,2228.7,6.39,127.44,kotu
MANISA,16.16,43.13,1608.4,29.8,54.78,iyi
MANISA,15.43,42.77,1684.97,31.72,54.52,iyi
MANISA,18.14,60.38,2023.03,34.54,70.6,kotu
MANISA,16.96,50.13,1896.59,28.91,70.67,kotu
MANISA,19.11,44.3,1851.55,33.3,74.3,kotu
MANISA,16.9,31.03,1548.86,34.93,63.29,iyi
MANISA,17.73,32.74,1514.55,24.3,51.9,iyi
MANISA,15.92,32.15,1575.42,26.44,45.72,iyi
MANISA,20.3,42.66,1693.84,26.67,48.16,iyi
MANISA,22.5,41.56,1841.94,27.33,58.21,iyi
MERSIN,9.52,102.98,716.75,21.52,84.5,kotu
MERSIN,10.88,92.32,620.91,24.49,68.42,iyi
MERSIN,8.8,110.67,792.9,19.54,71.7,kotu
MERSIN,6.79,109.07,859.76,17.66,71.37,kotu
MERSIN,6.55,100.53,831.72,21.3,69.17,iyi
MERSIN,6.36,113.64,932.14,15.12,72.99,kotu
MERSIN,5.79,57.55,416.89,35.9,57.1,iyi
MERSIN,5.32,78.82,766.22,31.39,47.95,iyi
MERSIN,7.09,83.04,666.78,22.55,48.15,iyi
MERSIN,11.18,107.52,847.58,11.11,58.16,iyi
MUGLA,2.22,47.11,1621.48,34.3,72.08,kotu
MUGLA,2.83,48.15,1712.74,32.83,74.41,kotu
MUGLA,2.47,49.03,1684.15,32.57,70.25,kotu
MUGLA,1.62,46.36,1712.47,30.14,72.84,kotu
MUGLA,0.98,37.99,1550.88,33,68.91,iyi
MUGLA,0.45,30.06,1438.61,33.29,60.94,iyi
MUGLA,0.36,27.61,1351.81,43.64,37.43,iyi
MUGLA,0.61,31.84,1399.33,31.28,50.38,iyi
MUGLA,0.79,40.32,1677.81,27.4,64.79,iyi
MUGLA,1.28,44.58,1673.14,28.15,64.05,iyi
NEVSEHIR,8.61,41.69,560.25,39.15,65.35,iyi
NEVSEHIR,7.96,43.76,596.4,34.87,60.13,iyi
NEVSEHIR,10.02,33.11,503.99,49.28,66.77,iyi
NEVSEHIR,10.37,32.96,432.89,47.78,64.69,iyi
